account_num,customer_name,account_age,num_accounts
C811207775,Alannah Daugherty,5,1
C1161148117,Ioan Hurst,0,2
C1131592118,Mallory Hansen,2,0
C1262609629,Kiah Cline,2,1
C1955990522,Tanisha Cassidy,0,2
C69673470,Wiktor Duggan,2,1
C527211736,Rhiana Herrera,0,2
C1533123860,Dawson Foster,0,0
C1718906711,Preston Gardiner,0,1
C71802912,Nichole Howells,3,1
C686349795,Angharad Pritchard,6,0
C1423768154,Franky Medrano,9,1
C1987977423,Liyah Scott,5,1
C807322507,Amal Jarvis,6,1
C283039401,Jordan-Lee Mendoza,1,2
C207471778,Mcauley Milner,4,2
C1243171897,Yousef Gaines,2,1
C1376151044,Gurveer Bell,1,0
C873175411,Kyra Shaw,3,1
C1443967876,Aamina Manning,9,1
C1449772539,Sam Castro,5,1
C926859124,Ryley Seymour,2,1
C1603696865,Sofia Gould,1,1
C12905860,Tillie Bolton,2,1
C412788346,Sinead Whittington,3,0
C1520267010,Mazie Wooten,7,2
C908084672,Priya Pittman,5,0
C288306765,Sharon Parkes,8,1
C1556867940,Elin Clemons,6,1
C1839168128,Colby Cannon,2,2
C1495608502,Ismaeel Turner,5,0
C835773569,Rohit Decker,5,0
C843299092,Isaak North,3,1
C605982374,Romana Vega,5,1
C1412322831,Nadine Power,8,0
C1305004711,Lylah Davenport,9,1
C1003206025,Sinead Castillo,6,1
C806813022,Brent Britton,5,0
C1406206626,Zayyan Fleming,8,1
C1799230133,Meerab Sanchez,7,0
C20156341,Viktoria Coulson,7,0
C1509309988,Trinity Ho,1,2
C2091072548,Jonny Cherry,2,1
C263053820,Imaani Gilliam,6,2
C1740826931,Renee Osborne,4,1
C69062746,Kris Parkinson,8,0
C1631227617,Marcos Duncan,8,1
C24650043,Carole Amin,6,1
C1896074070,Ioan Rossi,3,0
C460741164,Ranveer Justice,5,1
C781091365,Milana Hopkins,2,1
C1858015030,Alayna Mcloughlin,9,2
C671596011,Roger Marin,4,2
C1687354037,Simrah Sweeney,2,1
C743778731,Alicia Odling,6,1
C967323951,Jennie Deacon,8,0
C743648472,Kristofer Valentine,5,2
C1368862151,Ubaid Parrish,2,2
C922807452,Kitty Chaney,9,0
C1494346128,Trent Chang,5,2
C822087264,Yasmine Kouma,3,1
C38603201,Gabija Briggs,6,2
C1694784135,Abdi Carlson,2,1
C1207231495,Conor Hansen,4,2
C1221981006,Emmie Flynn,8,2
C1878413714,Tiah Metcalfe,7,2
C1257299717,Jimmy Sosa,4,0
C181252244,Tyrell Horner,5,1
C722417467,Tyrese Bautista,1,1
C753631393,Killian Ramirez,7,2
C1262869688,Atticus Millar,5,2
C544386226,Amy-Leigh Mcneill,1,1
C900298796,Phillipa Gamble,5,2
C1166106620,Ariana Sampson,2,1
C221861886,Libbie Rahman,1,0
C697508322,Carolina Carty,3,1
C603658030,Asmaa Adkins,9,0
C361380654,Astrid Goff,5,0
C1579132337,Shay Wilks,6,1
C1795225096,Orlaith Whitney,2,2
C1048712791,Maciej French,6,1
C1909398279,Mikaeel Thorne,7,2
C1338905451,Rayhaan Lister,7,1
C1252540239,Sherri Gregory,9,1
C1136005694,Tye Huffman,8,1
C426019904,Ernie Ramos,7,1
C1642679791,Heena Goodman,3,1
C855700733,Summer-Louise Childs,4,1
C247162961,Keir Mcculloch,7,2
C1890266440,Tyreese Berg,5,1
C1527152775,Aarav Stark,1,1
C1863655430,Ellie Whitfield,4,1
C976827477,Sia Chandler,5,1
C324112183,Eddison Vu,4,2
C2092709730,Dalia Alcock,2,2
C980364771,Teddy Simons,3,1
C1233595751,Savannah Amos,9,1
C1446001495,Shoaib Hulme,6,2
C1261044180,Keavy Craig,7,0
C141110631,Bartosz Cole,2,0
C2029372696,Shayan Clegg,2,1
C793293778,Tamzin Proctor,5,2
C888611662,Samanta Cleveland,1,0
C1966355106,Dakota Mcnamara,4,2
C599782425,Kloe Mckeown,8,1
C1233327519,Aniqa Khan,6,0
C1155769010,Nichole Hardin,5,1
C269892014,Cheyanne Vinson,3,2
C1280641161,Effie Lin,2,1
C489411441,Xavier Beltran,8,1
C1141113940,Zeenat Nixon,7,1
C1711185459,Aaliyah Mcdougall,3,0
C25936709,Kellan Cullen,3,0
C1123559518,Theodora Kemp,6,1
C649769713,Sameer Dowling,4,0
C925150995,Nelson Redmond,3,2
C1760219993,Zunaira Frank,0,1
C1800649922,Megan Benjamin,5,0
C403547747,Aiden Naylor,4,1
C172215878,Colm Gordon,2,1
C873309260,Reid Betts,6,2
C1112456099,Mujtaba Wade,1,1
C923083575,Amanah Bruce,5,0
C589363823,Warwick Fraser,9,2
C2052457859,Priscilla Kearns,7,0
C1299327689,Elisa Burt,6,1
C1408279755,Hettie Fernandez,6,1
C2007486296,Lilly-Grace Pollard,2,1
C1033348658,Emily-Jane Doyle,5,2
C1634723627,Humairaa Pate,3,2
C938463537,Teresa Appleton,5,0
C2121995675,Alya Kelly,3,0
C2120063568,Cathal Stone,6,1
C1620409359,Elaine Clifford,6,1
C691691381,Jem Noel,8,2
C264978436,Adelle Blaese,7,0
C500618423,Brennan Hardy,6,0
C1458091526,Sakina Lawrence,2,2
C768776793,Carmel Hernandez,7,0
C2018260103,Lester Hopper,7,2
C1393828949,Faisal Alcock,1,1
C1088417975,Nabil Spencer,8,2
C2036775591,Rome Palmer,8,0
C1620529408,Sonya Bain,2,1
C307488715,Dhruv Barr,8,1
C758572926,Arwen Franco,2,1
C1640612861,Andre Swan,6,1
C990679445,Veer Leon,8,2
C913065088,Liberty Benjamin,8,1
C746280996,Mikayla Lim,7,1
C50503805,Noor Firth,2,2
C1557989809,Justin Morris,5,2
C146874094,Nimra Melton,3,1
C2123222442,Lewie Coleman,1,1
C1746570062,Raheel Povey,5,0
C1544078442,Jed Kerr,1,0
C1887699190,Avaya Mcgowan,5,0
C1108889615,Husnain Vu,6,1
C455888635,Melissa Redfern,8,0
C204322447,Nazia Mcgill,9,1
C1164365897,Peggy Crouch,7,0
C3565780,Caleb Beach,2,1
C1865219266,Josiah Turnbull,0,2
C1278002745,Taylan Burt,6,0
C214649627,Raveena Henderson,4,1
C15477956,Caprice Rahman,5,0
C2082351661,Oluwatobiloba Delacruz,7,2
C859690270,Simeon Love,7,2
C1389774257,Zaine Henry,7,0
C553759818,Reyansh Drake,7,1
C751021317,Oskar Mcphee,9,2
C294658299,Sunil Cantu,6,1
C201677908,Milli Flores,9,1
C635611994,Arlene Zamora,2,1
C1930903395,Ryker Huynh,1,0
C1700721442,Dalia Farmer,1,2
C872522004,Ishan Tanner,7,2
C1110698130,Jennie Hester,7,0
C1053632127,Lloyd Cleveland,3,2
C89509666,Robson Guevara,5,2
C1016856028,Kaan Moreno,6,1
C832292933,Rajan Oconnor,5,1
C792855998,Emanuel Wills,2,1
C1003755748,Kourtney Wilkins,9,1
C1805164661,Millie Kirkland,1,1
C896138248,Sukhmani Mcdougall,1,1
C243575009,Charleigh Storey,7,1
C1420196421,Neriah Gilmore,6,2
C2101527076,Alishba Saunders,7,0
C1454026445,Griffin Hatfield,3,2
C892931811,Curtis Rayner,1,1
C1574873161,Jo Mccoy,0,0
C600958416,Arianna Crowther,6,2
C1492875057,Lorna Gregory,1,1
C1068945248,Miyah Kemp,1,2
C882646447,Kaylan Donnelly,5,2
C79290250,Poppie Hall,5,2
C1586151649,Niall Hunt,7,1
C1767230265,Courteney Fitzpatrick,0,0
C727666004,Daphne Browning,5,1
C414225167,Alannah Daugherty,8,1
C975033189,Ioan Hurst,1,1
C628064884,Mallory Hansen,5,2
C1389509050,Kiah Cline,6,0
C1761217448,Tanisha Cassidy,7,1
C788905599,Wiktor Duggan,1,1
C1544614339,Rhiana Herrera,6,1
C2059592603,Dawson Foster,8,0
C1688782916,Preston Gardiner,5,1
C1390301622,Nichole Howells,3,1
C973936431,Angharad Pritchard,7,2
C1756207614,Franky Medrano,8,1
C2015301874,Liyah Scott,8,0
C712627377,Amal Jarvis,3,0
C399373008,Jordan-Lee Mendoza,6,2
C1936550492,Mcauley Milner,6,1
C594651850,Yousef Gaines,7,1
C1532139270,Gurveer Bell,8,1
C1677568775,Kyra Shaw,6,0
C2069500590,Aamina Manning,5,1
C1431556341,Sam Castro,0,1
C452364286,Ryley Seymour,8,1
C350069300,Sofia Gould,1,2
C1060703587,Tillie Bolton,9,1
C1957078537,Sinead Whittington,1,1
C1514214932,Mazie Wooten,3,1
C594858858,Priya Pittman,3,1
C1423016050,Sharon Parkes,4,1
C1202042637,Elin Clemons,2,0
C440736059,Colby Cannon,7,1
C1384563514,Ismaeel Turner,9,0
C1548946718,Rohit Decker,4,0
C140404585,Isaak North,7,0
C207546206,Romana Vega,1,1
C200404000,Nadine Power,4,0
C191945292,Lylah Davenport,7,0
C1317375498,Sinead Castillo,2,0
C1130346421,Brent Britton,2,2
C192428201,Zayyan Fleming,2,1
C1768882706,Meerab Sanchez,7,2
C472991420,Viktoria Coulson,1,1
C1202220987,Trinity Ho,0,1
C425015667,Jonny Cherry,6,1
C2075568954,Imaani Gilliam,3,0
C1279740095,Renee Osborne,1,0
C2095677157,Kris Parkinson,1,2
C1943855334,Marcos Duncan,0,2
C847320212,Carole Amin,1,1
C1406848276,Ioan Rossi,5,2
C785306763,Ranveer Justice,6,2
C1123236701,Milana Hopkins,3,1
C79161706,Alayna Mcloughlin,2,2
C1057468716,Roger Marin,6,0
C1888924788,Simrah Sweeney,2,2
C1016633682,Alicia Odling,7,2
C1027319653,Jennie Deacon,7,0
C1561745898,Kristofer Valentine,5,1
C424786033,Ubaid Parrish,4,2
C867093003,Kitty Chaney,3,1
C1470911015,Trent Chang,6,1
C244872973,Yasmine Kouma,8,0
C795748540,Gabija Briggs,0,1
C837073696,Abdi Carlson,1,1
C416201381,Conor Hansen,4,2
C1985938863,Emmie Flynn,4,1
C1660325375,Tiah Metcalfe,3,1
C334593716,Jimmy Sosa,6,2
C487416600,Tyrell Horner,1,1
C1271041075,Tyrese Bautista,6,0
C1544895390,Killian Ramirez,3,2
C1971991758,Atticus Millar,3,0
C201274566,Amy-Leigh Mcneill,5,0
C354605216,Phillipa Gamble,6,1
C1447353473,Ariana Sampson,6,0
C611289995,Libbie Rahman,6,1
C1129433283,Carolina Carty,5,0
C1810518740,Asmaa Adkins,4,2
C1547883191,Astrid Goff,8,2
C1528769018,Shay Wilks,7,0
C1089930529,Orlaith Whitney,6,0
C1429483328,Maciej French,4,2
C1927963027,Mikaeel Thorne,3,1
C833240229,Rayhaan Lister,6,1
C1167088639,Sherri Gregory,2,2
C191568263,Tye Huffman,9,0
C751608431,Ernie Ramos,1,1
C893640573,Heena Goodman,8,1
C893523498,Summer-Louise Childs,0,1
C1108517064,Keir Mcculloch,7,2
C511354923,Tyreese Berg,8,0
C992743048,Aarav Stark,0,1
C1540894701,Ellie Whitfield,5,0
C203149502,Sia Chandler,6,1
C1198197478,Eddison Vu,4,1
C476579021,Dalia Alcock,7,1
C106297322,Teddy Simons,8,1
C1419332030,Savannah Amos,8,0
C1262110193,Shoaib Hulme,1,1
C396918327,Keavy Craig,3,0
C1055601039,Bartosz Cole,5,2
C547441493,Shayan Clegg,6,2
C967677821,Tamzin Proctor,9,1
C1839206329,Samanta Cleveland,8,1
C169880779,Dakota Mcnamara,8,1
C552674617,Kloe Mckeown,5,0
C1974622245,Aniqa Khan,6,1
C402808045,Nichole Hardin,1,1
C332365138,Cheyanne Vinson,7,1
C977160959,Effie Lin,8,0
C1563053805,Xavier Beltran,6,1
C1464177809,Zeenat Nixon,5,1
C1057507014,Aaliyah Mcdougall,8,2
C2007599722,Kellan Cullen,2,2
C2029780820,Theodora Kemp,6,2
C65080774,Sameer Dowling,3,1
C2116179210,Nelson Redmond,4,2
C1172535934,Zunaira Frank,8,2
C1648700617,Megan Benjamin,9,0
C1765900922,Aiden Naylor,6,0
C94830685,Colm Gordon,5,1
C1539947037,Reid Betts,2,1
C270661321,Mujtaba Wade,8,1
C1217312754,Amanah Bruce,3,1
C1099552523,Warwick Fraser,8,2
C1047934137,Priscilla Kearns,0,1
C1862994526,Elisa Burt,7,2
C1614133563,Hettie Fernandez,4,0
C839771540,Lilly-Grace Pollard,2,0
C1037163664,Emily-Jane Doyle,4,1
C180316302,Humairaa Pate,3,2
C1200546947,Teresa Appleton,6,2
C443713699,Alya Kelly,7,1
C695530017,Cathal Stone,3,0
C1493042329,Elaine Clifford,3,1
C1751403001,Jem Noel,0,0
C1717433286,Adelle Blaese,7,1
C1756819670,Brennan Hardy,3,0
C1078262677,Sakina Lawrence,6,0
C178604517,Carmel Hernandez,4,1
C57624756,Lester Hopper,0,2
C1543518287,Faisal Alcock,8,1
C998242313,Nabil Spencer,8,1
C464872674,Rome Palmer,1,1
C1659286984,Sonya Bain,1,2
C1064905627,Dhruv Barr,6,0
C2072130509,Arwen Franco,3,0
C1260440107,Andre Swan,3,2
C482307698,Veer Leon,3,1
C1793899405,Liberty Benjamin,0,1
C1765702,Mikayla Lim,6,2
C1302725372,Noor Firth,8,1
C713898436,Justin Morris,4,0
C632475595,Nimra Melton,4,2
C1920305914,Lewie Coleman,6,0
C263833514,Raheel Povey,4,0
C1278839936,Jed Kerr,4,1
C2143739483,Avaya Mcgowan,0,1
C565881091,Husnain Vu,5,1
C1618984457,Melissa Redfern,4,1
C1621254922,Nazia Mcgill,9,0
C702500163,Peggy Crouch,7,2
C1574509514,Caleb Beach,0,2
C1087072654,Josiah Turnbull,9,1
C864221358,Taylan Burt,3,2
C1617174216,Raveena Henderson,9,0
C1979080261,Caprice Rahman,5,1
C1860886124,Oluwatobiloba Delacruz,4,0
C1250499735,Simeon Love,2,1
C173791568,Zaine Henry,2,1
C1293462056,Reyansh Drake,5,0
C1966670937,Oskar Mcphee,2,2
C2002174925,Sunil Cantu,5,1
C588449070,Milli Flores,3,1
C735228558,Arlene Zamora,2,2
C376725601,Ryker Huynh,1,2
C1476235721,Dalia Farmer,4,2
C1828508781,Ishan Tanner,2,1
C1376017854,Jennie Hester,2,1
C1552870927,Lloyd Cleveland,5,1
C1448805967,Robson Guevara,2,1
C641882263,Kaan Moreno,6,0
C1930837320,Rajan Oconnor,4,1
C1489193907,Emanuel Wills,2,1
C1453606810,Kourtney Wilkins,7,1
C1645624121,Millie Kirkland,2,1
C547923534,Sukhmani Mcdougall,2,2
C1660223291,Charleigh Storey,2,1
C379124840,Neriah Gilmore,5,0
C1157943921,Alishba Saunders,1,1
C544966217,Griffin Hatfield,2,2
C1706272858,Curtis Rayner,1,2
C882471736,Jo Mccoy,6,1
C1475192960,Arianna Crowther,6,2
C727197178,Lorna Gregory,7,2
C1406253491,Miyah Kemp,3,1
C749604930,Kaylan Donnelly,3,1
C373097727,Poppie Hall,8,1
C2082509879,Niall Hunt,8,2
C576894497,Courteney Fitzpatrick,4,0
C2123533871,Daphne Browning,8,2
C16148478,Alannah Daugherty,6,1
C2022689531,Ioan Hurst,5,0
C1340848245,Mallory Hansen,8,1
C635610193,Kiah Cline,0,1
C379121284,Tanisha Cassidy,6,1
C281421502,Wiktor Duggan,7,2
C50072771,Rhiana Herrera,6,2
C848097505,Dawson Foster,2,0
C1672598778,Preston Gardiner,2,2
C1122233828,Nichole Howells,6,2
C538667887,Angharad Pritchard,5,0
C1967496309,Franky Medrano,4,2
C406749219,Liyah Scott,8,1
C1173340685,Amal Jarvis,7,2
C1045731788,Jordan-Lee Mendoza,1,1
C1739267143,Mcauley Milner,1,1
C192456457,Yousef Gaines,7,2
C817689537,Gurveer Bell,1,1
C708613859,Kyra Shaw,2,0
C365625031,Aamina Manning,9,1
C1531200408,Sam Castro,9,2
C212963786,Ryley Seymour,4,2
C1123321137,Sofia Gould,5,2
C685934,Tillie Bolton,8,1
C2032909428,Sinead Whittington,1,1
C2031377754,Mazie Wooten,1,2
C523211332,Priya Pittman,0,1
C1280124872,Sharon Parkes,2,1
C1747053097,Elin Clemons,2,1
C864326906,Colby Cannon,7,1
C1348115836,Ismaeel Turner,4,1
C1972143064,Rohit Decker,2,1
C312168418,Isaak North,1,2
C95369743,Romana Vega,5,1
C26928827,Nadine Power,6,0
C278476563,Lylah Davenport,7,1
C615954678,Sinead Castillo,6,0
C1926180325,Brent Britton,1,1
C1594039997,Zayyan Fleming,1,1
C1170788511,Meerab Sanchez,5,2
C347091104,Viktoria Coulson,6,2
C1110195322,Trinity Ho,4,2
C226690498,Jonny Cherry,6,1
C1976602906,Imaani Gilliam,0,0
C1624351535,Renee Osborne,1,2
C582300198,Kris Parkinson,7,1
C533415944,Marcos Duncan,1,2
C1086849943,Carole Amin,2,1
C1265053098,Ioan Rossi,1,2
C235370598,Ranveer Justice,4,2
C2083217543,Milana Hopkins,2,0
C177104018,Alayna Mcloughlin,6,1
C478139423,Roger Marin,2,1
C997695567,Simrah Sweeney,4,2
C2066892165,Alicia Odling,5,2
C48305285,Jennie Deacon,6,0
C1714378342,Kristofer Valentine,7,1
C93798665,Ubaid Parrish,8,1
C519303080,Kitty Chaney,5,1
C1871680329,Trent Chang,2,1
C1976166251,Yasmine Kouma,7,2
C1547398254,Gabija Briggs,1,0
C1979055448,Abdi Carlson,8,1
C934740803,Conor Hansen,8,2
C812143047,Emmie Flynn,4,2
C1215951090,Tiah Metcalfe,9,0
C894421232,Jimmy Sosa,4,0
C1182311147,Tyrell Horner,2,0
C1531182070,Tyrese Bautista,5,0
C1491860739,Killian Ramirez,4,1
C534753234,Atticus Millar,4,1
C231725600,Amy-Leigh Mcneill,9,0
C259251414,Phillipa Gamble,7,1
C803893384,Ariana Sampson,6,0
C1372422140,Libbie Rahman,7,0
C1288108586,Carolina Carty,0,0
C2054757222,Asmaa Adkins,7,1
C348132918,Astrid Goff,7,0
C1805443519,Shay Wilks,5,2
C1978504976,Orlaith Whitney,3,0
C1129869771,Maciej French,5,1
C2044337856,Mikaeel Thorne,8,1
C422409467,Rayhaan Lister,2,0
C1659515968,Sherri Gregory,4,0
C664091267,Tye Huffman,9,0
C1724814719,Ernie Ramos,6,2
C1543146693,Heena Goodman,2,0
C1956415355,Summer-Louise Childs,3,2
C24039137,Keir Mcculloch,6,0
C992086987,Tyreese Berg,2,1
C1244867001,Aarav Stark,8,2
C369805307,Ellie Whitfield,1,1
C1100109058,Sia Chandler,2,2
C1394010463,Eddison Vu,2,1
C1057307776,Dalia Alcock,3,2
C1636588948,Teddy Simons,5,2
C95685867,Savannah Amos,1,0
C494953170,Shoaib Hulme,9,0
C999647352,Keavy Craig,7,1
C677120200,Bartosz Cole,3,0
C957923719,Shayan Clegg,0,2
C1692073709,Tamzin Proctor,7,0
C1197498159,Samanta Cleveland,6,0
C500230084,Dakota Mcnamara,8,0
C1028145537,Kloe Mckeown,5,2
C2078641942,Aniqa Khan,7,0
C1527882132,Nichole Hardin,4,2
C1626852381,Cheyanne Vinson,7,1
C1193398802,Effie Lin,1,1
C1171255580,Xavier Beltran,5,0
C1275009283,Zeenat Nixon,5,2
C1478995734,Aaliyah Mcdougall,7,0
C1456061400,Kellan Cullen,4,2
C104261836,Theodora Kemp,4,0
C351656492,Sameer Dowling,1,1
C597364637,Nelson Redmond,4,1
C1527086220,Zunaira Frank,4,1
C1697281847,Megan Benjamin,8,1
C737104370,Aiden Naylor,8,1
C821405322,Colm Gordon,2,2
C1328323494,Reid Betts,4,0
C1408533352,Mujtaba Wade,6,1
C252615006,Amanah Bruce,6,1
C1943750504,Warwick Fraser,1,1
C176955204,Priscilla Kearns,5,2
C1011044643,Elisa Burt,6,1
C1358857082,Hettie Fernandez,0,1
C2056234595,Lilly-Grace Pollard,7,1
C2023917549,Emily-Jane Doyle,3,1
C1398260359,Humairaa Pate,3,1
C2052223881,Teresa Appleton,2,2
C1213871206,Alya Kelly,7,1
C628392976,Cathal Stone,5,1
C725832346,Elaine Clifford,7,2
C1113895488,Jem Noel,5,0
C1527007086,Adelle Blaese,9,1
C1523649562,Brennan Hardy,3,2
C1807176280,Sakina Lawrence,2,2
C203819996,Carmel Hernandez,6,1
C1977618945,Lester Hopper,3,0
C662925691,Faisal Alcock,8,1
C1995952705,Nabil Spencer,0,1
C1244880808,Rome Palmer,5,2
C1060519157,Sonya Bain,4,2
C58890945,Dhruv Barr,7,0
C1269773610,Arwen Franco,7,2
C464649704,Andre Swan,5,0
C367967231,Veer Leon,2,2
C36531985,Liberty Benjamin,1,0
C815336475,Mikayla Lim,6,1
C609483101,Noor Firth,4,1
C1149407083,Justin Morris,7,0
C767436045,Nimra Melton,3,0
C1430199669,Lewie Coleman,8,0
C1847431070,Raheel Povey,9,2
C1043639521,Jed Kerr,6,1
C1660837991,Avaya Mcgowan,9,1
C1325866488,Husnain Vu,3,2
C1306794745,Melissa Redfern,5,1
C1454171136,Nazia Mcgill,9,1
C1195396074,Peggy Crouch,8,2
C811562535,Caleb Beach,0,2
C1560379655,Josiah Turnbull,4,0
C1824322115,Taylan Burt,1,2
C702999333,Raveena Henderson,2,2
C1648582256,Caprice Rahman,5,2
C865858182,Oluwatobiloba Delacruz,8,1
C951988316,Simeon Love,4,1
C647973805,Zaine Henry,5,2
C1591161296,Reyansh Drake,1,0
C842331982,Oskar Mcphee,8,1
C2076249476,Sunil Cantu,4,1
C660595570,Milli Flores,8,1
C1088491512,Arlene Zamora,0,0
C1434066477,Ryker Huynh,2,1
C648315947,Dalia Farmer,1,1
C2117642238,Ishan Tanner,4,2
C913242382,Jennie Hester,3,2
C870322840,Lloyd Cleveland,5,2
C837246227,Robson Guevara,2,1
C173738886,Kaan Moreno,6,2
C1262237002,Rajan Oconnor,6,1
C2029754983,Emanuel Wills,2,1
C1946111918,Kourtney Wilkins,2,0
C564817260,Millie Kirkland,9,1
C194415222,Sukhmani Mcdougall,2,1
C798622145,Charleigh Storey,9,1
C638695843,Neriah Gilmore,3,0
C1411543296,Alishba Saunders,2,0
C1800967368,Griffin Hatfield,7,1
C338887787,Curtis Rayner,4,0
C1061448687,Jo Mccoy,0,2
C2015999862,Arianna Crowther,4,1
C1467515503,Lorna Gregory,7,2
C1533330615,Miyah Kemp,2,2
C1197721383,Kaylan Donnelly,6,0
C1917082298,Poppie Hall,3,2
C1639765351,Niall Hunt,2,1
C478209179,Courteney Fitzpatrick,7,0
C1166230227,Daphne Browning,0,2
C307411297,Alannah Daugherty,5,1
C1445424568,Ioan Hurst,3,1
C1374217958,Mallory Hansen,4,1
C1459016715,Kiah Cline,0,1
C1530957251,Tanisha Cassidy,8,1
C767511741,Wiktor Duggan,3,0
C548795052,Rhiana Herrera,9,1
C2143571436,Dawson Foster,2,2
C691863815,Preston Gardiner,4,1
C647149086,Nichole Howells,1,1
C103787801,Angharad Pritchard,4,2
C1959451969,Franky Medrano,2,1
C1441328175,Liyah Scott,7,2
C1831141281,Amal Jarvis,2,0
C2000648320,Jordan-Lee Mendoza,2,2
C1114335860,Mcauley Milner,5,1
C137533655,Yousef Gaines,2,0
C1118430673,Gurveer Bell,3,0
C1527254842,Kyra Shaw,2,1
C1800693087,Aamina Manning,0,2
C1717473929,Sam Castro,4,1
C1868578441,Ryley Seymour,2,1
C890160158,Sofia Gould,3,1
C1768127248,Tillie Bolton,4,1
C119112899,Sinead Whittington,2,2
C375074687,Mazie Wooten,9,2
C1429616542,Priya Pittman,4,1
C662666707,Sharon Parkes,2,1
C1821100643,Elin Clemons,3,0
C593768538,Colby Cannon,3,1
C1191864687,Ismaeel Turner,2,1
C466032056,Rohit Decker,4,1
C690822257,Isaak North,6,1
C726212590,Romana Vega,4,1
C1058822905,Nadine Power,3,0
C475394679,Lylah Davenport,8,1
C1574615832,Sinead Castillo,3,1
C1049590050,Brent Britton,2,0
C1662592920,Zayyan Fleming,9,2
C1357686726,Meerab Sanchez,0,0
C1491522744,Viktoria Coulson,4,1
C501608687,Trinity Ho,1,0
C929706284,Jonny Cherry,1,2
C42820240,Imaani Gilliam,2,0
C1822434669,Renee Osborne,6,1
C1592840862,Kris Parkinson,4,1
C955611965,Marcos Duncan,8,1
C1021565761,Carole Amin,2,0
C1692375649,Ioan Rossi,9,1
C237373286,Ranveer Justice,4,2
C883521348,Milana Hopkins,6,1
C2086068243,Alayna Mcloughlin,1,1
C1076202543,Roger Marin,8,2
C749486981,Simrah Sweeney,6,1
C1731295355,Alicia Odling,1,1
C2061440682,Jennie Deacon,5,1
C1488946768,Kristofer Valentine,8,2
C1907241392,Ubaid Parrish,3,0
C1269118128,Kitty Chaney,9,0
C739264372,Trent Chang,8,2
C749981943,Yasmine Kouma,1,2
C1313960293,Gabija Briggs,6,1
C1785111044,Abdi Carlson,3,1
C494894055,Conor Hansen,3,1
C500885941,Emmie Flynn,5,1
C616412281,Tiah Metcalfe,2,0
C878861517,Jimmy Sosa,5,1
C1705665942,Tyrell Horner,5,1
C1100619942,Tyrese Bautista,7,0
C864248990,Killian Ramirez,2,0
C15892131,Atticus Millar,6,1
C879311295,Amy-Leigh Mcneill,7,1
C1483145520,Phillipa Gamble,5,1
C163385254,Ariana Sampson,3,1
C970781872,Libbie Rahman,7,0
C258737099,Carolina Carty,1,1
C407997647,Asmaa Adkins,5,2
C1988939205,Astrid Goff,8,2
C275056979,Shay Wilks,0,1
C371976476,Orlaith Whitney,2,1
C480184864,Maciej French,8,0
C483525032,Mikaeel Thorne,8,1
C429058804,Rayhaan Lister,3,0
C52913970,Sherri Gregory,3,1
C836969741,Tye Huffman,2,1
C567852222,Ernie Ramos,5,1
